[2014-01-14 00:19:44] coreyg, quitting. (Quit: coreyg)
[2014-01-14 00:34:08] smccarthy, quitting. (Remote host closed the connection)
[2014-01-14 01:51:38] lukeis, quitting. (Quit: Leaving.)
[2014-01-14 02:13:38] jlipps, quitting. (Quit: Leaving.)
[2014-01-14 04:12:11] smccarthy, joining. (#selendroid)
[2014-01-14 05:21:11] jlipps, joining. (#selendroid)
[2014-01-14 05:26:02] jlipps, quitting. (Client Quit)
[2014-01-14 06:15:15] smccarthy, quitting. (Remote host closed the connection)
[2014-01-14 07:13:51] selendroid-git, joining. (#selendroid)
[2014-01-14 07:13:51] selendroid-git: [selendroid] skyisle opened pull request #216: Kill logcat process after test is finished (master...master) http://git.io/fRmV1w
[2014-01-14 07:13:51] selendroid-git, leaving. (#selendroid)
