[2014-07-17 00:22:40] lukeis1, changing nick to lukeis.
[2014-07-17 01:03:48] sfbrian_, quitting. (Quit: sfbrian_)
[2014-07-17 01:50:22] smccarthy, joining. (#selendroid)
[2014-07-17 02:04:21] selendroid-git, joining. (#selendroid)
[2014-07-17 02:04:21] selendroid-git: [selendroid] mmnormyle opened pull request #485: Added a feature that allows testers to add records to call log in device... (master...master) http://git.io/sFm0cw
[2014-07-17 02:04:21] selendroid-git, leaving. (#selendroid)
[2014-07-17 02:37:14] jlipps, quitting. (Quit: Leaving.)
[2014-07-17 03:01:31] smccarthy, quitting. (Quit: Leaving...)
[2014-07-17 03:04:11] detronizator, quitting. (Ping timeout: 264 seconds)
[2014-07-17 03:05:12] detronizator, joining. (#selendroid)
[2014-07-17 04:40:02] lukeis, quitting. (Ping timeout: 250 seconds)
[2014-07-17 07:29:22] ddary, joining. (#selendroid)
[2014-07-17 07:57:05] ddary, quitting. (Quit: Leaving.)
[2014-07-17 08:34:08] selendroidbot___, joining. (#selendroid)
[2014-07-17 09:00:05] operatiay, joining. (#selendroid)
[2014-07-17 09:04:41] operatiay, quitting. (Ping timeout: 256 seconds)
[2014-07-17 10:30:22] ddary, quitting. (Ping timeout: 246 seconds)
[2014-07-17 11:35:02] operatiay, joining. (#selendroid)
[2014-07-17 12:34:32] operatiay, quitting. (Remote host closed the connection)
[2014-07-17 13:12:32] operatiay, joining. (#selendroid)
[2014-07-17 17:20:27] operatiay, quitting. (Remote host closed the connection)
[2014-07-17 17:21:36] operatiay, joining. (#selendroid)
[2014-07-17 17:24:34] lukeis, joining. (#selendroid)
[2014-07-17 17:26:23] smccarthy, joining. (#selendroid)
[2014-07-17 18:27:23] operatiay, quitting. (Remote host closed the connection)
[2014-07-17 18:40:41] sfbrian_, joining. (#selendroid)
[2014-07-17 19:14:50] jlipps, joining. (#selendroid)
[2014-07-17 21:15:49] operatiay, joining. (#selendroid)
[2014-07-17 21:31:09] operatiay, quitting. (Remote host closed the connection)
