[2015-01-08 00:03:21] dom__, quitting. (Quit: Page closed)
[2015-01-08 00:39:04] smccarthy2, quitting. (Quit: Leaving...)
[2015-01-08 02:06:29] lukeis, quitting. (Ping timeout: 245 seconds)
[2015-01-08 08:02:16] ddary, joining. (#selendroid)
[2015-01-08 08:13:47] ddary: :log
[2015-01-08 08:18:16] sri096, joining. (#selendroid)
[2015-01-08 08:20:50] sri096, quitting. (Client Quit)
[2015-01-08 08:38:08] ddary, leaving. (#selendroid)
[2015-01-08 12:23:32] smikloso, joining. (#selendroid)
[2015-01-08 14:14:48] selendroid-git, joining. (#selendroid)
[2015-01-08 14:14:48] selendroid-git: [selendroid] saral opened pull request #776: fix NPE on native apps driver.switchTo().defaultContent() (master...npe_on_native_driver_switchTo) http://git.io/5Atp4w
[2015-01-08 14:14:48] selendroid-git, leaving. (#selendroid)
[2015-01-08 14:46:28] smccarthy, joining. (#selendroid)
[2015-01-08 15:45:28] smccarthy, quitting. (Quit: Leaving...)
[2015-01-08 16:43:00] smccarthy, joining. (#selendroid)
[2015-01-08 17:12:33] mach6, joining. (#selendroid)
[2015-01-08 17:22:23] smikloso, leaving. (#selendroid)
[2015-01-08 17:27:39] mach6, quitting. (Quit: Be back later ...)
[2015-01-08 17:28:42] mach6, joining. (#selendroid)
[2015-01-08 17:30:29] mach6, quitting. (Client Quit)
[2015-01-08 17:43:24] mach6, joining. (#selendroid)
[2015-01-08 17:47:39] mach6, quitting. (Ping timeout: 252 seconds)
[2015-01-08 17:57:42] mach6, joining. (#selendroid)
